Holding Ticker,ticker_type,Weight
AAPL ,NASDAQ,9.82
NVDA ,NASDAQ,8.42
MSFT ,NASDAQ,8.28
AMZN ,NASDAQ,6.04
AVGO ,NASDAQ,4.34
TSLA ,NASDAQ,3.9
META ,NASDAQ,3.26
GOOGL ,NASDAQ,2.85
GOOG ,NASDAQ,2.73
COST ,NASDAQ,2.65
NFLX ,NASDAQ,2.44
TMUS ,NASDAQ,1.6
CSCO ,NASDAQ,1.46
PEP ,NASDAQ,1.32
LIN ,NASDAQ,1.27
ADBE ,NASDAQ,1.24
AMD ,NASDAQ,1.22
ISRG ,NASDAQ,1.17
INTU ,NASDAQ,1.13
PLTR ,NASDAQ,1.1
TXN ,NASDAQ,1.07
QCOM ,NASDAQ,1.07
BKNG ,NASDAQ,1.05
HON ,NASDAQ,0.93
CMCSA ,NASDAQ,0.92
AMGN ,NASDAQ,0.89
AMAT ,NASDAQ,0.85
PANW ,NASDAQ,0.77
ADP ,NASDAQ,0.75
GILD ,NASDAQ,0.72
ADI ,NASDAQ,0.66
VRTX ,NASDAQ,0.64
APP ,NASDAQ,0.64
MU ,NASDAQ,0.63
SBUX ,NASDAQ,0.63
MRVL ,NASDAQ,0.61
LRCX ,NASDAQ,0.58
PYPL ,NASDAQ,0.55
MELI ,NASDAQ,0.55
CRWD ,NASDAQ,0.53
INTC ,NASDAQ,0.53
KLAC ,NASDAQ,0.53
CDNS ,NASDAQ,0.52
MDLZ ,NASDAQ,0.5
MAR ,NASDAQ,0.49
REGN ,NASDAQ,0.48
SNPS ,NASDAQ,0.47
CTAS ,NASDAQ,0.47
FTNT ,NASDAQ,0.47
CEG ,NASDAQ,0.45
ORLY ,NASDAQ,0.44
MSTR ,NASDAQ,0.42
DASH ,NASDAQ,0.42
PDD ,NASDAQ,0.42
ADSK ,NASDAQ,0.4
ASML ,NASDAQ,0.39
CSX ,NASDAQ,0.39
WDAY ,NASDAQ,0.36
ABNB ,NASDAQ,0.36
ROP ,NASDAQ,0.35
TTD ,NASDAQ,0.35
CPRT ,NASDAQ,0.35
PCAR ,NASDAQ,0.35
NXPI ,NASDAQ,0.34
MNST ,NASDAQ,0.32
PAYX ,NASDAQ,0.32
CHTR ,NASDAQ,0.31
ROST ,NASDAQ,0.31
AEP ,NASDAQ,0.31
AXON ,NASDAQ,0.3
DDOG ,NASDAQ,0.29
FANG ,NASDAQ,0.28
LULU ,NASDAQ,0.28
KDP ,NASDAQ,0.28
FAST ,NASDAQ,0.27
TEAM ,NASDAQ,0.26
BKR ,NASDAQ,0.25
CTSH ,NASDAQ,0.25
VRSK ,NASDAQ,0.24
EA ,NASDAQ,0.24
ODFL ,NASDAQ,0.24
XEL ,NASDAQ,0.24
AZN ,NASDAQ,0.24
EXC ,NASDAQ,0.23
KHC ,NASDAQ,0.23
GEHC ,NASDAQ,0.23
CCEP ,NASDAQ,0.22
IDXX ,NASDAQ,0.21
TTWO ,NASDAQ,0.2
DXCM ,NASDAQ,0.2
MCHP ,NASDAQ,0.19
ANSS ,NASDAQ,0.19
CSGP ,NASDAQ,0.18
ZS ,NASDAQ,0.18
ON ,NASDAQ,0.17
WBD ,NASDAQ,0.17
CDW ,NASDAQ,0.15
GFS ,NASDAQ,0.14
BIIB ,NASDAQ,0.13
MDB ,NASDAQ,0.11
ARM ,NASDAQ,0.11
